path,size_mb,tracked_by_git,untracked,ignored_by_git,threshold_bucket,recommended_action
data_storage/INJUSDT/1m/INJUSDT_1m_2018-01-01_to_2026-05-22.csv,144.3765,False,False,True,>100MB,DO_NOT_COMMIT_REDOWNLOAD_ON_MAC
dashboard/node_modules/@next/swc-win32-x64-msvc/next-swc.win32-x64-msvc.node,141.4995,False,False,True,>100MB,DO_NOT_COMMIT_CACHE
data_storage/OPUSDT/1m/OPUSDT_1m_2018-01-01_to_2026-05-22.csv,106.4079,False,False,True,>100MB,DO_NOT_COMMIT_REDOWNLOAD_ON_MAC
data_storage/APTUSDT/1m/APTUSDT_1m_2018-01-01_to_2026-05-22.csv,96.0667,False,False,True,>50MB,DO_NOT_COMMIT_REDOWNLOAD_ON_MAC
data_storage/ARBUSDT/1m/ARBUSDT_1m_2018-01-01_to_2026-05-22.csv,89.4209,False,False,True,>50MB,DO_NOT_COMMIT_REDOWNLOAD_ON_MAC
data_storage/SUIUSDT/1m/SUIUSDT_1m_2018-01-01_to_2026-05-22.csv,86.1472,False,False,True,>50MB,DO_NOT_COMMIT_REDOWNLOAD_ON_MAC
backtest/output/edge_lab/edge_signals.csv,73.3454,False,False,True,>50MB,DO_NOT_COMMIT_REGENERATE_ON_MAC
structural_compounding_lab/output/broad_historical_structural_replay_001/ledger/level_log.csv,61.2405,False,True,False,>50MB,DO_NOT_COMMIT_REGENERATE_ON_MAC
data_storage/BTCUSDT/5m/BTCUSDT_5m_2018-01-01T00.00.00_to_2026-05-23T00.00.00.csv,56.0826,False,False,True,>50MB,DO_NOT_COMMIT_REDOWNLOAD_ON_MAC
data_storage/POLUSDT/1m/POLUSDT_1m_2018-01-01_to_2026-05-22.csv,47.523,False,False,True,>25MB,DO_NOT_COMMIT_REDOWNLOAD_ON_MAC
data_storage/RENDERUSDT/1m/RENDERUSDT_1m_2018-01-01_to_2026-05-22.csv,47.4726,False,False,True,>25MB,DO_NOT_COMMIT_REDOWNLOAD_ON_MAC
data_storage/BTCUSDT/5m/BTCUSDT_5m_2020-09-22T06.30.00_to_2026-05-23T00.00.00.csv,38.493,False,False,True,>25MB,DO_NOT_COMMIT_REDOWNLOAD_ON_MAC
structural_compounding_lab/output/evidence_review_001/holdout_recent_preview/_checkpoints/structural_backtest.checkpoint.json,38.1002,False,True,False,>25MB,DO_NOT_COMMIT_REGENERATE_ON_MAC
data_storage/BTCUSDT/5m/BTCUSDT_5m_2020-10-15T03.00.00_to_2026-05-23T00.00.00.csv,38.0646,False,False,True,>25MB,DO_NOT_COMMIT_REDOWNLOAD_ON_MAC
backtest/output/htf_12h_forward_return_20260602/htf_forward_candidates.csv,36.8097,False,False,True,>25MB,DO_NOT_COMMIT_REGENERATE_ON_MAC
data_storage/ETHUSDT/5m/ETHUSDT_5m_2020-09-22T06.30.00_to_2026-05-23T00.00.00.csv,35.9646,False,False,True,>25MB,DO_NOT_COMMIT_REDOWNLOAD_ON_MAC
data_storage/ETHUSDT/5m/ETHUSDT_5m_2020-10-15T03.00.00_to_2026-05-23T00.00.00.csv,35.5846,False,False,True,>25MB,DO_NOT_COMMIT_REDOWNLOAD_ON_MAC
backtest/output/htf_12h_validation_20260601/scenario_core_only/trades.csv,35.537,False,False,True,>25MB,DO_NOT_COMMIT_REGENERATE_ON_MAC
